date,average,ticker,industry
1999-11,35.22,UPS,Industrials
1999-12,35.028,UPS,Industrials
2000-01,34.739,UPS,Industrials
2000-02,29.454,UPS,Industrials
2000-03,29.439,UPS,Industrials
2000-04,32.202,UPS,Industrials
2000-05,32.086,UPS,Industrials
2000-06,32.038,UPS,Industrials
2000-07,31.432,UPS,Industrials
2000-08,29.961,UPS,Industrials
2000-09,29.0,UPS,Industrials
2000-10,30.644,UPS,Industrials
2000-11,31.554,UPS,Industrials
2000-12,31.308,UPS,Industrials
2001-01,31.754,UPS,Industrials
2001-02,31.417,UPS,Industrials
2001-03,30.114,UPS,Industrials
2001-04,29.249,UPS,Industrials
2001-05,31.028,UPS,Industrials
2001-06,30.412,UPS,Industrials
2001-07,30.613,UPS,Industrials
2001-08,29.688,UPS,Industrials
2001-09,27.456,UPS,Industrials
2001-10,27.223,UPS,Industrials
2001-11,28.759,UPS,Industrials
2001-12,29.8,UPS,Industrials
2002-01,30.232,UPS,Industrials
2002-02,30.528,UPS,Industrials
2002-03,32.31,UPS,Industrials
2002-04,32.463,UPS,Industrials
2002-05,31.788,UPS,Industrials
2002-06,33.257,UPS,Industrials
2002-07,33.493,UPS,Industrials
2002-08,34.764,UPS,Industrials
2002-09,33.859,UPS,Industrials
2002-10,33.529,UPS,Industrials
2002-11,33.842,UPS,Industrials
2002-12,34.517,UPS,Industrials
2003-01,33.934,UPS,Industrials
2003-02,31.807,UPS,Industrials
2003-03,30.884,UPS,Industrials
2003-04,32.075,UPS,Industrials
2003-05,33.815,UPS,Industrials
2003-06,34.715,UPS,Industrials
2003-07,34.972,UPS,Industrials
2003-08,34.576,UPS,Industrials
2003-09,34.732,UPS,Industrials
2003-10,37.177,UPS,Industrials
2003-11,39.739,UPS,Industrials
2003-12,40.498,UPS,Industrials
2004-01,39.899,UPS,Industrials
2004-02,38.967,UPS,Industrials
2004-03,38.103,UPS,Industrials
2004-04,39.088,UPS,Industrials
2004-05,38.706,UPS,Industrials
2004-06,40.652,UPS,Industrials
2004-07,40.41,UPS,Industrials
2004-08,39.665,UPS,Industrials
2004-09,41.163,UPS,Industrials
2004-10,43.045,UPS,Industrials
2004-11,46.009,UPS,Industrials
2004-12,48.071,UPS,Industrials
2005-01,43.722,UPS,Industrials
2005-02,42.417,UPS,Industrials
2005-03,42.089,UPS,Industrials
2005-04,39.51,UPS,Industrials
2005-05,41.26,UPS,Industrials
2005-06,39.862,UPS,Industrials
2005-07,39.943,UPS,Industrials
2005-08,40.861,UPS,Industrials
2005-09,38.85,UPS,Industrials
2005-10,39.836,UPS,Industrials
2005-11,43.3,UPS,Industrials
2005-12,43.295,UPS,Industrials
2006-01,42.867,UPS,Industrials
2006-02,42.598,UPS,Industrials
2006-03,44.373,UPS,Industrials
2006-04,46.455,UPS,Industrials
2006-05,46.457,UPS,Industrials
2006-06,45.92,UPS,Industrials
2006-07,44.514,UPS,Industrials
2006-08,39.725,UPS,Industrials
2006-09,41.304,UPS,Industrials
2006-10,42.964,UPS,Industrials
2006-11,44.395,UPS,Industrials
2006-12,44.227,UPS,Industrials
2007-01,42.891,UPS,Industrials
2007-02,42.655,UPS,Industrials
2007-03,40.93,UPS,Industrials
2007-04,41.399,UPS,Industrials
2007-05,41.303,UPS,Industrials
2007-06,42.614,UPS,Industrials
2007-07,43.887,UPS,Industrials
2007-08,44.714,UPS,Industrials
2007-09,44.139,UPS,Industrials
2007-10,44.632,UPS,Industrials
2007-11,42.852,UPS,Industrials
