date,average,ticker,industry
1962-01,0.048,BP,Energy
1962-02,0.051,BP,Energy
1962-03,0.051,BP,Energy
1962-04,0.049,BP,Energy
1962-05,0.046,BP,Energy
1962-06,0.045,BP,Energy
1962-07,0.046,BP,Energy
1962-08,0.046,BP,Energy
1962-09,0.046,BP,Energy
1962-10,0.046,BP,Energy
1962-11,0.048,BP,Energy
1962-12,0.048,BP,Energy
1963-01,0.05,BP,Energy
1963-02,0.052,BP,Energy
1963-03,0.054,BP,Energy
1963-04,0.058,BP,Energy
1963-05,0.064,BP,Energy
1963-06,0.064,BP,Energy
1963-07,0.065,BP,Energy
1963-08,0.068,BP,Energy
1963-09,0.069,BP,Energy
1963-10,0.07,BP,Energy
1963-11,0.07,BP,Energy
1963-12,0.072,BP,Energy
1964-01,0.072,BP,Energy
1964-02,0.079,BP,Energy
1964-03,0.085,BP,Energy
1964-04,0.09,BP,Energy
1964-05,0.097,BP,Energy
1964-06,0.095,BP,Energy
1964-07,0.101,BP,Energy
1964-08,0.106,BP,Energy
1964-09,0.105,BP,Energy
1964-10,0.106,BP,Energy
1964-11,0.116,BP,Energy
1964-12,0.108,BP,Energy
1965-01,0.113,BP,Energy
1965-02,0.113,BP,Energy
1965-03,0.112,BP,Energy
1965-04,0.114,BP,Energy
1965-05,0.118,BP,Energy
1965-06,0.114,BP,Energy
1965-07,0.118,BP,Energy
1965-08,0.124,BP,Energy
1965-09,0.137,BP,Energy
1965-10,0.135,BP,Energy
1965-11,0.145,BP,Energy
1965-12,0.148,BP,Energy
1966-01,0.145,BP,Energy
1966-02,0.149,BP,Energy
1966-03,0.141,BP,Energy
1966-04,0.142,BP,Energy
1966-05,0.137,BP,Energy
1966-06,0.14,BP,Energy
1966-07,0.145,BP,Energy
1966-08,0.144,BP,Energy
1966-09,0.139,BP,Energy
1966-10,0.158,BP,Energy
1966-11,0.156,BP,Energy
1966-12,0.158,BP,Energy
1967-01,0.15,BP,Energy
1967-02,0.153,BP,Energy
1967-03,0.149,BP,Energy
1967-04,0.151,BP,Energy
1967-05,0.154,BP,Energy
1967-06,0.152,BP,Energy
1967-07,0.16,BP,Energy
1967-08,0.165,BP,Energy
1967-09,0.165,BP,Energy
1967-10,0.178,BP,Energy
1967-11,0.176,BP,Energy
1967-12,0.175,BP,Energy
1968-01,0.183,BP,Energy
1968-02,0.177,BP,Energy
1968-03,0.168,BP,Energy
1968-04,0.168,BP,Energy
1968-05,0.166,BP,Energy
1968-06,0.172,BP,Energy
1968-07,0.175,BP,Energy
1968-08,0.165,BP,Energy
1968-09,0.166,BP,Energy
1968-10,0.173,BP,Energy
1968-11,0.174,BP,Energy
1968-12,0.193,BP,Energy
1969-01,0.189,BP,Energy
1969-02,0.193,BP,Energy
1969-03,0.192,BP,Energy
1969-04,0.195,BP,Energy
1969-05,0.201,BP,Energy
1969-06,0.273,BP,Energy
1969-07,0.277,BP,Energy
1969-08,0.298,BP,Energy
1969-09,0.296,BP,Energy
1969-10,0.272,BP,Energy
1969-11,0.287,BP,Energy
1969-12,0.239,BP,Energy
1970-01,0.214,BP,Energy
1970-02,0.189,BP,Energy
1970-03,0.196,BP,Energy
1970-04,0.179,BP,Energy
